
	Lev	Material	Component	Object description	Quantity	BUn	Document	MS	Group	GrC	Task list description	ValCl

	 1	1504982	2722824	GENERIC 20GA CRS	  1.040	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	1504982	3500751	COIL STOCK 20GA CRS 48IN	  1.040	LB						RAW
	 1	1504993-S	2722823	GENERIC 18GA CRS	  1.052	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	1504993-S	3500749	COIL STOCK 18GA CRS 48IN	  1.052	LB						RAW
	 1	1504994-S	2722823	GENERIC 18GA CRS	  1.052	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	1504994-S	3500749	COIL STOCK 18GA CRS 48IN	  1.052	LB						RAW
	 1	1669263	2722823	GENERIC 18GA CRS	  1.047	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	1669263	3500749	COIL STOCK 18GA CRS 48IN	  1.047	LB						RAW
	 1	1873807-N	1873779	GLZD INSR RL AL MILL	  0.200	EA	1873779,A					RAW
	 1	1873808-N	1873779	GLZD INSR RL AL MILL	  0.200	EA	1873779,A					RAW
	 1	1895296	1100666	S CONNR BRKT 12GA RAW	  1.000	EA	1100666,B					RAW
	 1	1977163-S	2049540	COIL STK 22GA CRS 18.343	  1.450	LB						RAW
	 1	1977164-S	2049540	COIL STK 22GA CRS 18.343	  1.450	LB						RAW
	 1	1977165-S	2049540	COIL STK 22GA CRS 18.343	  2.400	LB						RAW
	 1	1977166-S	2049540	COIL STK 22GA CRS 18.343	  2.400	LB						RAW
	 1	1981785-W	1981773	DR GLIDE PLATE 14 GA STL RAW	  1.000	EA	1981773,B					RAW
	 1	1981785-W	1981784	WELD NUT 3/8-16 STL PLN	  1.000	EA						RAW
	 1	1988676	1988676-SN	END PNL OTR BC 1566 LH NOTCH	  1.000	EA	1988672,E	99				SEMI
	 2	1988676	2722825	GENERIC 22GA CRS	 10.621	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 3	1988676	3500753	COIL STOCK 22GA CRS 48IN	 10.621	LB						RAW
	 1	1988680	1988680-SN	END PNL INR BC 1566 RH NOTCH	  1.000	EA	1988680,E	99				SEMI
	 2	1988680	2722824	GENERIC 20GA CRS	 11.125	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 3	1988680	3500751	COIL STOCK 20GA CRS 48IN	 11.125	LB						RAW
	 1	2065538-PNT	2517979	PWDR 420 SANDSTONE	  0.032	LB						RAW
	 1	2065538-PNT	2065538	SPLN RTNR,ACSTL,NCH,48,RAW	  1.000	EA	2052301,D					RAW
	 1	2306718-SN	2722824	GENERIC 20GA CRS	  0.036	LB			29300	1	REPORT PRODUCTION LBS	SEMI
